computer,name,version,publisher
'Laser Blue','Corel Graphics - Windows Shell Extension 32 Bit Keys','21.0.581','Corel Corporation'
'Laser Blue','Corel Graphics - Windows Shell Extension 64 Bit Keys','21.0.582','Corel Corporation'
'Laser Blue','7-Zip 19.00 (x64)','19.00','Igor Pavlov'
'Laser Blue','Mozilla Firefox (x64 en-US)','102.0','Mozilla'
'Laser Blue','Mozilla Maintenance Service','72.0.1','Mozilla'
'Laser Blue','LightBurn version 1.0.04','1.0.04',None
'Laser Blue','GIMP 2.10.14','2.10.14','The GIMP Team'
'Laser Dorian','Dell SupportAssist','3.11.4.29','Dell Inc.'
'Laser Dorian','Dell SupportAssist OS Recovery Plugin for Dell Update','5.5.1.16143','Dell Inc.'
'Laser Dorian','DVP1 Compatible API x64','2.36.137','Do3think'
'Laser Dorian','DVP2 M2S x64','1.5.89','Do3think'
'Laser Dorian','DVP2 x64','1.5.89','Do3think'
'Laser Dorian','7-Zip 22.01 (x64)','22.01','Igor Pavlov'
'Laser Dorian','Vulkan Run Time Libraries 1.0.26.0','1.0.26.0','LunarG, Inc.'
'Laser Dorian','LightBurn version 1.2.01','1.2.01',None
'Laser Dorian','Windows Driver Package - Provider (USBCAMERA) UsbCamera  (03/16/2018 1.10.42.344)','03/16/2018 1.10.42.344','Provider'
'Laser Pearl','CorelDRAW Standard 2021 - Writing Tools','23.0',' Corel Corporation'
'Laser Pearl','Adobe Acrobat DC (64-bit)','22.002.20212','Adobe'
'Laser Pearl','Corel Graphics - Windows Shell Extension','23.0.0.362','Corel Corporation'
'Laser Pearl','Corel Graphics - Windows Shell Extension','23.0.362','Corel Corporation'
'Laser Pearl','Corel Graphics - Windows Shell Extension 32 Bit Keys','23.0.362','Corel Corporation'
'Laser Pearl','Corel Graphics - Windows Shell Extension 64 Bit','17.1.572','Corel Corporation'
'Laser Pearl','CorelDRAW Standard 2021 (64-Bit)','23.0.0.363','Corel Corporation'
'Laser Pearl','CorelDRAW Standard 2021 - Common','23.0','Corel Corporation'
'Laser Pearl','CorelDRAW Standard 2021 - Core','23.0','Corel Corporation'
